plant_id,model,year,manufacturer,serial_number,status,crew_name,attachment
EC290B,EC290B Volvo Tailhold & bucket with drawbar - (Bollicks),2005,Volvo,13437,Active,BSW10,Tailhold with fairlead and drawbar
EC250-4,EC250-4 TA-7 WA131,2020,Volvo,VCEC250DE00271172,Active,BGB,null
EC220-4,EC220-4 Volvo Shovel Excavator,2021,Volvo,VCEC220DE00271559,Terminated,NBL765,null
EC300-6,EC300-6 Volvo Waratah 624C,2021,Waratah,VCEC300DV00272089,Active,null,null
624-4,HTH624C Waratah,2021,Waratah,1WA624CXAM0000583,Active,null,null
330-3,ZX330 Hitachi with Waratah (Shaun),null,Hitachi,HCMDDE91700041017,Active,Chamois,Waratah Falling Head
324-1,CAT324 with grapple,2009,CAT,0324DFP00306,Active,BULL,null
360-1,Volvo 360B - (Bollicks),null,Volvo,null,Active,BSW10,null
220-5,Volvo EC220D with grapple,2021,Volvo,VCEC220DA00271606,Active,BSW10,null
290-9/2,Hyundai 290-2 Fixed grapple,null,Hyundai,HHKHZ801HD0002079,Active,Bull,null
ELTEC,ELTEC FHL317L (Nige),2021,ELTEC,2FHL317LM0194,Active,BBC,Woodsman Felling head
CFH1400,Woodsman CFH1400,2021,Woodsman,48930620,Active,Boar,Woodsman Felling head
300-7,EC300DL-7 Grapple,2021,Volvo,VCEC300DT00272280,Active,Stag,CDL H257M Grapple
300-8,EC300DL-8 F/M 630-3,2021,Volvo,VCEC300DC00272312,Active,Chamois,Satco 630-3
630-3,Satco Falling Head 630-3,null,Satco,14632,Active,LC1,630-3
SH300-1,Sumitomo SH300-6 TA8 WA150,2021,Sumitomo,SMT300N6T00BH1335,Active,NBL765,null
959-3,JD 959K F/M 630H,2021,John Deere,T0959MHLMC406724,Active,NBL765,630-9
630-9,Satco 630H Series 2,2021,Satco,null,Active,NBL765,630-9
880-1,Tigercat 880,2013,Tigercat,8800234,Active,Bryant,Waratah 625C
625-2,Waratah HTH625C,2013,Waratah,1WA625cXV00000040,Active,Boar Extra 765,625C-2
250-5,EC250D-5 TA9,2021,Volvo,VCEC250DT00271288,Active,Stag,null
TA9,Falcon Winch TA9,2022,Falcon,WAV02-161A0195A0122,Active,Stag,null
300-9,Volvo EC300-9,2021,Volvo,null,Active,L9,null
959-2,John Deere 959,2022,John Deere,null,Active,BGB,null
630-10,Satco 630H Series 2,2022,Satco,28287,Active,Bull,630-10
300-10,Volvo EC300-10 Shovel Excavator,2022,Volvo,VCE300DK00272492,Active,Bull,Ensign 1730 Grapple
SH80-1,Sumitomo SH80BS-6A,2018,Sumitomo,SMT080X6C00BS53191,Active,Hiwipango,null
758-1,Weiler B758,2022,Weiler,1W90B758KN0002517,Active,Stag,null
630-10,Satco 630H Series 2,null,Satco,null,Active,Stag,null
2156G,John Deere 2156G,2022,John Deere,1FF2156GCMD216307,Active,BSW10,Duxon Grapple GX182HD
F67-1,Ranger,1993,Ranger,F67C2037,Active,Viking,Winch
648H-1,John Deere 648H,2008,John Deere,DW648HX617775,Active,Workshop,Grapple / winch
748H-1,John Deere 748H-1,2013,John Deere,Vin: 1DW748HXKDC651806,Active,L9,Grapple
